State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),PERCENT_HISP,PERCENT_WHITE,Summary level,State,County,Census Tract
Census Tract 4251.01,"1,853",946,51.10%,82,4.40%,1,0.10%,585,31.60%,4,0.20%,27,1.50%,111,6.00%,97,0.05,0.51,140,6,1,425101
Census Tract 4251.02,"3,752","1,053",28.10%,499,13.30%,10,0.30%,"1,626",43.30%,10,0.30%,22,0.60%,207,5.50%,325,0.09,0.28,140,6,1,425102
Census Tract 4251.03,"2,926","1,111",38.00%,438,15.00%,0,0.00%,787,26.90%,16,0.50%,23,0.80%,221,7.60%,330,0.11,0.38,140,6,1,425103
Census Tract 4251.04,"4,374","1,454",33.20%,949,21.70%,12,0.30%,920,21.00%,9,0.20%,54,1.20%,293,6.70%,683,0.16,0.33,140,6,1,425104
Census Tract 4261,"6,364","4,076",64.00%,71,1.10%,5,0.10%,"1,274",20.00%,7,0.10%,54,0.80%,522,8.20%,355,0.06,0.64,140,6,1,426100
Census Tract 4262,"4,915","2,992",60.90%,51,1.00%,0,0.00%,974,19.80%,3,0.10%,45,0.90%,475,9.70%,375,0.08,0.61,140,6,1,426200
Census Tract 4271,"4,063","2,388",58.80%,146,3.60%,0,0.00%,738,18.20%,4,0.10%,25,0.60%,335,8.20%,427,0.11,0.59,140,6,1,427100
Census Tract 4272,"4,363","1,645",37.70%,177,4.10%,10,0.20%,"1,462",33.50%,24,0.60%,15,0.30%,341,7.80%,689,0.16,0.38,140,6,1,427200
Census Tract 4273,"5,719","2,094",36.60%,529,9.20%,27,0.50%,"1,897",33.20%,26,0.50%,50,0.90%,421,7.40%,675,0.12,0.37,140,6,1,427300
Census Tract 4276,"4,730","1,168",24.70%,642,13.60%,17,0.40%,"1,839",38.90%,40,0.80%,44,0.90%,323,6.80%,657,0.14,0.25,140,6,1,427600
Census Tract 4277,"5,016","2,362",47.10%,294,5.90%,12,0.20%,"1,271",25.30%,18,0.40%,32,0.60%,353,7.00%,674,0.13,0.47,140,6,1,427700
Census Tract 4278,"4,827","2,390",49.50%,192,4.00%,7,0.10%,"1,192",24.70%,11,0.20%,42,0.90%,361,7.50%,632,0.13,0.5,140,6,1,427800
Census Tract 4279,"4,744","2,367",49.90%,204,4.30%,12,0.30%,"1,078",22.70%,10,0.20%,31,0.70%,400,8.40%,642,0.14,0.5,140,6,1,427900
Census Tract 4280,"2,997",986,32.90%,186,6.20%,8,0.30%,"1,080",36.00%,17,0.60%,15,0.50%,224,7.50%,481,0.16,0.33,140,6,1,428000
Census Tract 4281,"4,880","2,559",52.40%,142,2.90%,10,0.20%,"1,039",21.30%,16,0.30%,49,1.00%,434,8.90%,631,0.13,0.52,140,6,1,428100
Census Tract 4282,"6,644","3,316",49.90%,196,3.00%,6,0.10%,"1,732",26.10%,38,0.60%,51,0.80%,572,8.60%,733,0.11,0.5,140,6,1,428200
Census Tract 4283.01,"7,044","2,154",30.60%,199,2.80%,4,0.10%,"3,370",47.80%,17,0.20%,41,0.60%,568,8.10%,691,0.1,0.31,140,6,1,428301
Census Tract 4283.02,"7,120","2,695",37.90%,181,2.50%,1,0.00%,"3,220",45.20%,10,0.10%,29,0.40%,513,7.20%,471,0.07,0.38,140,6,1,428302
Census Tract 4284,"4,645","1,934",41.60%,330,7.10%,18,0.40%,"1,277",27.50%,35,0.80%,29,0.60%,334,7.20%,688,0.15,0.42,140,6,1,428400
Census Tract 4285,"3,339","1,363",40.80%,193,5.80%,8,0.20%,"1,083",32.40%,14,0.40%,12,0.40%,292,8.70%,374,0.11,0.41,140,6,1,428500
Census Tract 4286,"3,398","1,285",37.80%,232,6.80%,9,0.30%,"1,135",33.40%,18,0.50%,47,1.40%,240,7.10%,432,0.13,0.38,140,6,1,428600
Census Tract 4287,"4,751","1,446",30.40%,556,11.70%,24,0.50%,"1,694",35.70%,58,1.20%,44,0.90%,391,8.20%,538,0.11,0.3,140,6,1,428700
Census Tract 4301.01,"6,747","1,977",29.30%,268,4.00%,3,0.00%,"3,518",52.10%,16,0.20%,34,0.50%,321,4.80%,610,0.09,0.29,140,6,1,430101
Census Tract 4301.02,"2,553","1,355",53.10%,57,2.20%,3,0.10%,584,22.90%,3,0.10%,26,1.00%,190,7.40%,335,0.13,0.53,140,6,1,430102
Census Tract 4302,"7,477","3,587",48.00%,191,2.60%,11,0.10%,"2,009",26.90%,14,0.20%,51,0.70%,506,6.80%,"1,108",0.15,0.48,140,6,1,430200
Census Tract 4303,"3,940","1,929",49.00%,91,2.30%,12,0.30%,975,24.70%,5,0.10%,14,0.40%,260,6.60%,654,0.17,0.49,140,6,1,430300
Census Tract 4304,"2,207","1,107",50.20%,51,2.30%,0,0.00%,534,24.20%,9,0.40%,29,1.30%,160,7.20%,317,0.14,0.5,140,6,1,430400
Census Tract 4305,"6,289","1,715",27.30%,"1,025",16.30%,22,0.30%,"1,424",22.60%,44,0.70%,31,0.50%,384,6.10%,"1,644",0.26,0.27,140,6,1,430500
Census Tract 4306,"6,385","2,500",39.20%,289,4.50%,18,0.30%,"2,141",33.50%,39,0.60%,33,0.50%,410,6.40%,955,0.15,0.39,140,6,1,430600
Census Tract 4307,"4,209","1,775",42.20%,113,2.70%,4,0.10%,"1,231",29.20%,9,0.20%,39,0.90%,289,6.90%,749,0.18,0.42,140,6,1,430700
Census Tract 4308,"6,165","2,263",36.70%,185,3.00%,15,0.20%,"2,009",32.60%,24,0.40%,44,0.70%,408,6.60%,"1,217",0.2,0.37,140,6,1,430800
Census Tract 4309,"5,137","1,454",28.30%,498,9.70%,24,0.50%,"1,274",24.80%,49,1.00%,51,1.00%,291,5.70%,"1,496",0.29,0.28,140,6,1,430900
Census Tract 4310,"3,091",914,29.60%,221,7.10%,6,0.20%,875,28.30%,7,0.20%,17,0.50%,195,6.30%,856,0.28,0.3,140,6,1,431000
Census Tract 4311,"3,537","1,035",29.30%,436,12.30%,8,0.20%,683,19.30%,38,1.10%,33,0.90%,241,6.80%,"1,063",0.3,0.29,140,6,1,431100
Census Tract 4312,"6,091","2,259",37.10%,635,10.40%,16,0.30%,"1,206",19.80%,47,0.80%,32,0.50%,338,5.50%,"1,558",0.26,0.37,140,6,1,431200
Census Tract 4321,"4,121","1,537",37.30%,513,12.40%,31,0.80%,616,14.90%,35,0.80%,13,0.30%,333,8.10%,"1,043",0.25,0.37,140,6,1,432100
Census Tract 4322,"4,231","1,377",32.50%,701,16.60%,4,0.10%,658,15.60%,20,0.50%,23,0.50%,261,6.20%,"1,187",0.28,0.33,140,6,1,432200
Census Tract 4323,"4,885",902,18.50%,499,10.20%,21,0.40%,"1,476",30.20%,20,0.40%,32,0.70%,183,3.70%,"1,752",0.36,0.18,140,6,1,432300
Census Tract 4324,"6,279",936,14.90%,505,8.00%,16,0.30%,"2,007",32.00%,49,0.80%,24,0.40%,223,3.60%,"2,519",0.4,0.15,140,6,1,432400
Census Tract 4325.01,"5,161",756,14.60%,224,4.30%,10,0.20%,"2,033",39.40%,33,0.60%,12,0.20%,152,2.90%,"1,941",0.38,0.15,140,6,1,432501
Census Tract 4325.02,"4,641",535,11.50%,550,11.90%,13,0.30%,"1,928",41.50%,46,1.00%,16,0.30%,157,3.40%,"1,396",0.3,0.12,140,6,1,432502
Census Tract 4326.01,"4,358",828,19.00%,764,17.50%,5,0.10%,"1,206",27.70%,16,0.40%,40,0.90%,173,4.00%,"1,326",0.3,0.19,140,6,1,432601
Census Tract 4326.02,"3,214",684,21.30%,668,20.80%,9,0.30%,651,20.30%,33,1.00%,16,0.50%,157,4.90%,996,0.31,0.21,140,6,1,432602
Census Tract 4327,"2,660","1,070",40.20%,206,7.70%,5,0.20%,507,19.10%,7,0.30%,14,0.50%,151,5.70%,700,0.26,0.4,140,6,1,432700
Census Tract 4328,"4,121","1,307",31.70%,450,10.90%,9,0.20%,"1,226",29.80%,18,0.40%,19,0.50%,219,5.30%,873,0.21,0.32,140,6,1,432800
Census Tract 4330,"4,178","1,056",25.30%,290,6.90%,4,0.10%,"1,355",32.40%,34,0.80%,13,0.30%,154,3.70%,"1,272",0.3,0.25,140,6,1,433000
Census Tract 4331.02,"4,124",572,13.90%,335,8.10%,9,0.20%,"1,762",42.70%,59,1.40%,19,0.50%,113,2.70%,"1,255",0.3,0.14,140,6,1,433102
Census Tract 4331.03,"3,682",445,12.10%,776,21.10%,12,0.30%,772,21.00%,25,0.70%,41,1.10%,134,3.60%,"1,477",0.4,0.12,140,6,1,433103
Census Tract 4331.04,"4,125",816,19.80%,782,19.00%,11,0.30%,756,18.30%,40,1.00%,32,0.80%,189,4.60%,"1,499",0.36,0.2,140,6,1,433104
Census Tract 4332,"7,652","1,070",14.00%,"1,190",15.60%,16,0.20%,"2,997",39.20%,81,1.10%,54,0.70%,335,4.40%,"1,909",0.25,0.14,140,6,1,433200
Census Tract 4333,"7,448","1,228",16.50%,255,3.40%,14,0.20%,"3,784",50.80%,72,1.00%,26,0.30%,239,3.20%,"1,830",0.25,0.16,140,6,1,433300
Census Tract 4334,"6,644","1,015",15.30%,537,8.10%,17,0.30%,"3,891",58.60%,43,0.60%,16,0.20%,249,3.70%,876,0.13,0.15,140,6,1,433400
Census Tract 4335,"4,557",926,20.30%,144,3.20%,5,0.10%,"2,223",48.80%,34,0.70%,9,0.20%,120,2.60%,"1,096",0.24,0.2,140,6,1,433500
Census Tract 4336,"6,307","1,172",18.60%,447,7.10%,13,0.20%,"2,870",45.50%,50,0.80%,29,0.50%,215,3.40%,"1,511",0.24,0.19,140,6,1,433600
Census Tract 4337,"3,515",488,13.90%,336,9.60%,10,0.30%,664,18.90%,48,1.40%,9,0.30%,136,3.90%,"1,824",0.52,0.14,140,6,1,433700
Census Tract 4338.01,"3,637",410,11.30%,590,16.20%,24,0.70%,766,21.10%,25,0.70%,17,0.50%,101,2.80%,"1,704",0.47,0.11,140,6,1,433801
Census Tract 4338.02,"4,365",481,11.00%,485,11.10%,14,0.30%,"1,891",43.30%,24,0.50%,28,0.60%,180,4.10%,"1,262",0.29,0.11,140,6,1,433802
Census Tract 4339,"6,833",577,8.40%,"1,476",21.60%,13,0.20%,"1,136",16.60%,137,2.00%,26,0.40%,238,3.50%,"3,230",0.47,0.08,140,6,1,433900
Census Tract 4340,"5,564",682,12.30%,968,17.40%,15,0.30%,"1,081",19.40%,46,0.80%,43,0.80%,172,3.10%,"2,557",0.46,0.12,140,6,1,434000
Census Tract 4351.02,"5,870","1,423",24.20%,949,16.20%,11,0.20%,"1,550",26.40%,53,0.90%,29,0.50%,347,5.90%,"1,508",0.26,0.24,140,6,1,435102
Census Tract 4351.03,"7,726","2,066",26.70%,560,7.20%,10,0.10%,"3,668",47.50%,43,0.60%,40,0.50%,501,6.50%,838,0.11,0.27,140,6,1,435103
Census Tract 4351.04,"7,230",906,12.50%,888,12.30%,12,0.20%,"2,340",32.40%,155,2.10%,45,0.60%,365,5.00%,"2,519",0.35,0.13,140,6,1,435104
Census Tract 4352,"4,504","1,027",22.80%,845,18.80%,6,0.10%,962,21.40%,81,1.80%,28,0.60%,340,7.50%,"1,215",0.27,0.23,140,6,1,435200
Census Tract 4353,"5,077","1,097",21.60%,849,16.70%,17,0.30%,888,17.50%,56,1.10%,63,1.20%,258,5.10%,"1,849",0.36,0.22,140,6,1,435300
Census Tract 4354,"4,940",944,19.10%,872,17.70%,12,0.20%,921,18.60%,61,1.20%,42,0.90%,248,5.00%,"1,840",0.37,0.19,140,6,1,435400
Census Tract 4355,"4,104",835,20.30%,379,9.20%,14,0.30%,554,13.50%,105,2.60%,28,0.70%,134,3.30%,"2,055",0.5,0.2,140,6,1,435500
Census Tract 4356.01,"5,454",636,11.70%,477,8.70%,20,0.40%,666,12.20%,97,1.80%,33,0.60%,161,3.00%,"3,364",0.62,0.12,140,6,1,435601
Census Tract 4356.02,"5,709",922,16.10%,482,8.40%,12,0.20%,748,13.10%,75,1.30%,20,0.40%,181,3.20%,"3,269",0.57,0.16,140,6,1,435602
Census Tract 4357,"4,904",840,17.10%,244,5.00%,7,0.10%,"1,087",22.20%,74,1.50%,16,0.30%,193,3.90%,"2,443",0.5,0.17,140,6,1,435700
Census Tract 4358,"5,735","1,166",20.30%,229,4.00%,12,0.20%,"1,930",33.70%,55,1.00%,17,0.30%,214,3.70%,"2,112",0.37,0.2,140,6,1,435800
Census Tract 4359,"5,431","1,406",25.90%,179,3.30%,10,0.20%,"1,898",34.90%,48,0.90%,27,0.50%,233,4.30%,"1,630",0.3,0.26,140,6,1,435900
Census Tract 4360,"5,049","1,184",23.50%,128,2.50%,19,0.40%,"1,500",29.70%,53,1.00%,16,0.30%,173,3.40%,"1,976",0.39,0.23,140,6,1,436000
Census Tract 4361,"5,745","1,042",18.10%,256,4.50%,10,0.20%,"1,703",29.60%,82,1.40%,31,0.50%,229,4.00%,"2,392",0.42,0.18,140,6,1,436100
Census Tract 4362,"4,176",399,9.60%,484,11.60%,6,0.10%,413,9.90%,51,1.20%,22,0.50%,114,2.70%,"2,687",0.64,0.1,140,6,1,436200
Census Tract 4363.01,"5,785",502,8.70%,550,9.50%,11,0.20%,"1,976",34.20%,75,1.30%,42,0.70%,173,3.00%,"2,456",0.43,0.09,140,6,1,436301
Census Tract 4363.02,"3,903",468,12.00%,437,11.20%,8,0.20%,788,20.20%,86,2.20%,17,0.40%,139,3.60%,"1,960",0.5,0.12,140,6,1,436302
Census Tract 4364.02,"3,007","1,250",41.60%,313,10.40%,0,0.00%,586,19.50%,20,0.70%,21,0.70%,222,7.40%,595,0.2,0.42,140,6,1,436402
Census Tract 4364.03,"4,282","1,043",24.40%,552,12.90%,14,0.30%,663,15.50%,101,2.40%,27,0.60%,239,5.60%,"1,643",0.38,0.24,140,6,1,436403
Census Tract 4364.04,"3,609","1,236",34.20%,406,11.20%,6,0.20%,645,17.90%,50,1.40%,18,0.50%,275,7.60%,973,0.27,0.34,140,6,1,436404
Census Tract 4365,"5,372",771,14.40%,714,13.30%,8,0.10%,"1,168",21.70%,171,3.20%,28,0.50%,206,3.80%,"2,306",0.43,0.14,140,6,1,436500
Census Tract 4366.01,"6,761",588,8.70%,582,8.60%,13,0.20%,"1,082",16.00%,236,3.50%,44,0.70%,169,2.50%,"4,047",0.6,0.09,140,6,1,436601
Census Tract 4366.02,"5,402",406,7.50%,529,9.80%,20,0.40%,"1,469",27.20%,158,2.90%,39,0.70%,230,4.30%,"2,551",0.47,0.08,140,6,1,436602
Census Tract 4367,"3,689",431,11.70%,247,6.70%,6,0.20%,865,23.40%,73,2.00%,20,0.50%,123,3.30%,"1,924",0.52,0.12,140,6,1,436700
Census Tract 4368,"4,341",484,11.10%,437,10.10%,15,0.30%,"1,170",27.00%,150,3.50%,33,0.80%,174,4.00%,"1,878",0.43,0.11,140,6,1,436800
Census Tract 4369,"7,099",613,8.60%,345,4.90%,10,0.10%,"1,288",18.10%,174,2.50%,35,0.50%,154,2.20%,"4,480",0.63,0.09,140,6,1,436900
Census Tract 4370,"3,726",601,16.10%,252,6.80%,8,0.20%,"1,194",32.00%,194,5.20%,15,0.40%,206,5.50%,"1,256",0.34,0.16,140,6,1,437000
Census Tract 4371.01,"7,532",727,9.70%,348,4.60%,23,0.30%,"4,128",54.80%,293,3.90%,43,0.60%,301,4.00%,"1,669",0.22,0.1,140,6,1,437101
Census Tract 4371.02,"4,557",403,8.80%,318,7.00%,2,0.00%,"2,054",45.10%,158,3.50%,47,1.00%,176,3.90%,"1,399",0.31,0.09,140,6,1,437102
Census Tract 4372,"8,696","1,447",16.60%,688,7.90%,25,0.30%,"3,645",41.90%,270,3.10%,40,0.50%,380,4.40%,"2,201",0.25,0.17,140,6,1,437200
Census Tract 4373,"3,359",367,10.90%,302,9.00%,4,0.10%,"1,101",32.80%,153,4.60%,15,0.40%,147,4.40%,"1,270",0.38,0.11,140,6,1,437300
Census Tract 4374,"3,508",423,12.10%,141,4.00%,12,0.30%,754,21.50%,99,2.80%,44,1.30%,116,3.30%,"1,919",0.55,0.12,140,6,1,437400
Census Tract 4375,"4,797",327,6.80%,265,5.50%,0,0.00%,706,14.70%,249,5.20%,19,0.40%,209,4.40%,"3,022",0.63,0.07,140,6,1,437500
Census Tract 4376,"3,398",344,10.10%,218,6.40%,12,0.40%,975,28.70%,160,4.70%,26,0.80%,160,4.70%,"1,503",0.44,0.1,140,6,1,437600
Census Tract 4377.01,"3,991",216,5.40%,427,10.70%,15,0.40%,644,16.10%,196,4.90%,20,0.50%,131,3.30%,"2,342",0.59,0.05,140,6,1,437701
Census Tract 4377.02,"4,404",121,2.70%,202,4.60%,9,0.20%,538,12.20%,126,2.90%,24,0.50%,51,1.20%,"3,333",0.76,0.03,140,6,1,437702
Census Tract 4378,"4,785",563,11.80%,297,6.20%,2,0.00%,"1,716",35.90%,201,4.20%,21,0.40%,181,3.80%,"1,804",0.38,0.12,140,6,1,437800
Census Tract 4379,"2,426",243,10.00%,154,6.30%,10,0.40%,468,19.30%,116,4.80%,6,0.20%,99,4.10%,"1,330",0.55,0.1,140,6,1,437900
Census Tract 4380,"3,409",809,23.70%,188,5.50%,9,0.30%,"1,007",29.50%,37,1.10%,13,0.40%,198,5.80%,"1,148",0.34,0.24,140,6,1,438000
Census Tract 4381,"7,807","1,058",13.60%,416,5.30%,12,0.20%,"2,393",30.70%,136,1.70%,21,0.30%,321,4.10%,"3,450",0.44,0.14,140,6,1,438100
Census Tract 4382.01,"4,752",471,9.90%,184,3.90%,11,0.20%,"1,227",25.80%,179,3.80%,14,0.30%,167,3.50%,"2,499",0.53,0.1,140,6,1,438201
Census Tract 4382.03,"4,200",481,11.50%,283,6.70%,15,0.40%,"1,982",47.20%,126,3.00%,21,0.50%,128,3.00%,"1,164",0.28,0.11,140,6,1,438203
Census Tract 4382.04,"5,940",794,13.40%,334,5.60%,7,0.10%,"2,529",42.60%,235,4.00%,29,0.50%,243,4.10%,"1,769",0.3,0.13,140,6,1,438204
Census Tract 4383,"3,865",248,6.40%,225,5.80%,15,0.40%,"1,383",35.80%,225,5.80%,20,0.50%,146,3.80%,"1,603",0.42,0.06,140,6,1,438300
Census Tract 4384,"2,460",366,14.90%,97,3.90%,0,0.00%,936,38.00%,112,4.60%,16,0.70%,103,4.20%,830,0.34,0.15,140,6,1,438400
Census Tract 4401,"2,656",858,32.30%,122,4.60%,0,0.00%,"1,080",40.70%,31,1.20%,5,0.20%,137,5.20%,423,0.16,0.32,140,6,1,440100
Census Tract 4402,"5,786",273,4.70%,211,3.60%,10,0.20%,"1,259",21.80%,43,0.70%,16,0.30%,89,1.50%,"3,885",0.67,0.05,140,6,1,440200
Census Tract 4403.01,"7,129",914,12.80%,304,4.30%,13,0.20%,"3,185",44.70%,72,1.00%,34,0.50%,319,4.50%,"2,288",0.32,0.13,140,6,1,440301
Census Tract 4403.04,"4,726",322,6.80%,214,4.50%,6,0.10%,"3,290",69.60%,50,1.10%,21,0.40%,203,4.30%,620,0.13,0.07,140,6,1,440304
Census Tract 4403.05,"3,682",400,10.90%,197,5.40%,1,0.00%,"2,288",62.10%,72,2.00%,26,0.70%,124,3.40%,574,0.16,0.11,140,6,1,440305
Census Tract 4403.06,"4,020",262,6.50%,203,5.00%,14,0.30%,"2,855",71.00%,46,1.10%,19,0.50%,165,4.10%,456,0.11,0.07,140,6,1,440306
Census Tract 4403.07,"4,459",718,16.10%,212,4.80%,8,0.20%,"2,326",52.20%,50,1.10%,16,0.40%,226,5.10%,903,0.2,0.16,140,6,1,440307
Census Tract 4403.08,"5,946",734,12.30%,216,3.60%,18,0.30%,"2,875",48.40%,136,2.30%,22,0.40%,227,3.80%,"1,718",0.29,0.12,140,6,1,440308
Census Tract 4403.31,"3,323",283,8.50%,158,4.80%,4,0.10%,"2,031",61.10%,58,1.70%,12,0.40%,138,4.20%,639,0.19,0.09,140,6,1,440331
Census Tract 4403.32,"3,034",227,7.50%,99,3.30%,0,0.00%,"2,396",79.00%,7,0.20%,14,0.50%,129,4.30%,162,0.05,0.07,140,6,1,440332
Census Tract 4403.33,"2,787",186,6.70%,126,4.50%,1,0.00%,"2,105",75.50%,23,0.80%,0,0.00%,133,4.80%,213,0.08,0.07,140,6,1,440333
Census Tract 4403.34,"4,083",390,9.60%,173,4.20%,2,0.00%,"2,572",63.00%,42,1.00%,10,0.20%,210,5.10%,684,0.17,0.1,140,6,1,440334
Census Tract 4403.36,"4,583",639,13.90%,236,5.10%,9,0.20%,"2,425",52.90%,62,1.40%,12,0.30%,160,3.50%,"1,040",0.23,0.14,140,6,1,440336
Census Tract 4403.37,"2,708",209,7.70%,81,3.00%,2,0.10%,"2,070",76.40%,11,0.40%,10,0.40%,98,3.60%,227,0.08,0.08,140,6,1,440337
Census Tract 4403.38,"4,305",470,10.90%,199,4.60%,7,0.20%,"2,863",66.50%,30,0.70%,35,0.80%,241,5.60%,460,0.11,0.11,140,6,1,440338
Census Tract 4411,"4,504","1,627",36.10%,107,2.40%,22,0.50%,"1,718",38.10%,11,0.20%,42,0.90%,293,6.50%,684,0.15,0.36,140,6,1,441100
Census Tract 4412,"7,277","2,293",31.50%,139,1.90%,19,0.30%,"3,112",42.80%,16,0.20%,52,0.70%,445,6.10%,"1,201",0.17,0.32,140,6,1,441200
Census Tract 4413.01,"3,248",617,19.00%,96,3.00%,6,0.20%,"2,066",63.60%,9,0.30%,16,0.50%,148,4.60%,290,0.09,0.19,140,6,1,441301
Census Tract 4413.02,"5,661","1,204",21.30%,135,2.40%,16,0.30%,"3,323",58.70%,16,0.30%,33,0.60%,228,4.00%,706,0.13,0.21,140,6,1,441302
Census Tract 4414.01,"7,319","1,046",14.30%,214,2.90%,4,0.10%,"4,805",65.70%,49,0.70%,30,0.40%,316,4.30%,855,0.12,0.14,140,6,1,441401
Census Tract 4414.02,"5,293",871,16.50%,153,2.90%,10,0.20%,"3,511",66.30%,19,0.40%,24,0.50%,240,4.50%,465,0.09,0.16,140,6,1,441402
Census Tract 4415.01,"5,913",593,10.00%,213,3.60%,16,0.30%,"4,355",73.70%,34,0.60%,22,0.40%,272,4.60%,408,0.07,0.1,140,6,1,441501
Census Tract 4415.03,"7,763",475,6.10%,101,1.30%,10,0.10%,"6,708",86.40%,8,0.10%,34,0.40%,178,2.30%,249,0.03,0.06,140,6,1,441503
Census Tract 4415.21,"5,779",719,12.40%,118,2.00%,4,0.10%,"4,289",74.20%,64,1.10%,14,0.20%,186,3.20%,385,0.07,0.12,140,6,1,441521
Census Tract 4415.22,"4,868",543,11.20%,145,3.00%,2,0.00%,"3,397",69.80%,25,0.50%,30,0.60%,152,3.10%,574,0.12,0.11,140,6,1,441522
Census Tract 4415.23,"4,169",368,8.80%,120,2.90%,7,0.20%,"3,301",79.20%,26,0.60%,19,0.50%,113,2.70%,215,0.05,0.09,140,6,1,441523
Census Tract 4415.24,"4,040",327,8.10%,81,2.00%,4,0.10%,"3,323",82.30%,10,0.20%,9,0.20%,121,3.00%,165,0.04,0.08,140,6,1,441524
Census Tract 4415.25,"1,632",117,7.20%,56,3.40%,2,0.10%,"1,327",81.30%,0,0.00%,9,0.60%,16,1.00%,105,0.06,0.07,140,6,1,441525
Census Tract 4416.01,"4,641","1,075",23.20%,137,3.00%,5,0.10%,"2,249",48.50%,42,0.90%,23,0.50%,220,4.70%,890,0.19,0.23,140,6,1,441601
Census Tract 4416.02,"7,220","1,177",16.30%,250,3.50%,8,0.10%,"3,608",50.00%,78,1.10%,17,0.20%,378,5.20%,"1,704",0.24,0.16,140,6,1,441602
Census Tract 4417.01,"3,846",553,14.40%,98,2.50%,8,0.20%,"1,969",51.20%,50,1.30%,28,0.70%,126,3.30%,"1,014",0.26,0.14,140,6,1,441701
Census Tract 4417.02,"5,728","1,077",18.80%,402,7.00%,44,0.80%,"2,937",51.30%,26,0.50%,62,1.10%,237,4.10%,943,0.17,0.19,140,6,1,441702
Census Tract 4418,"7,195","1,537",21.40%,193,2.70%,14,0.20%,"4,046",56.20%,28,0.40%,54,0.80%,242,3.40%,"1,081",0.15,0.21,140,6,1,441800
Census Tract 4419.21,"3,718",694,18.70%,105,2.80%,6,0.20%,"1,782",47.90%,27,0.70%,16,0.40%,134,3.60%,954,0.26,0.19,140,6,1,441921
Census Tract 4419.23,"6,333",828,13.10%,206,3.30%,28,0.40%,"4,177",66.00%,28,0.40%,116,1.80%,172,2.70%,778,0.12,0.13,140,6,1,441923
Census Tract 4419.24,"7,619","1,211",15.90%,183,2.40%,13,0.20%,"4,935",64.80%,27,0.40%,19,0.20%,335,4.40%,896,0.12,0.16,140,6,1,441924
Census Tract 4419.26,"3,836",381,9.90%,127,3.30%,8,0.20%,"2,318",60.40%,22,0.60%,20,0.50%,125,3.30%,835,0.22,0.1,140,6,1,441926
Census Tract 4419.27,"4,310",668,15.50%,113,2.60%,11,0.30%,"2,847",66.10%,20,0.50%,43,1.00%,142,3.30%,466,0.11,0.16,140,6,1,441927
Census Tract 4419.28,"3,392",481,14.20%,140,4.10%,10,0.30%,"2,238",66.00%,23,0.70%,18,0.50%,145,4.30%,337,0.1,0.14,140,6,1,441928
Census Tract 4419.29,"3,466",483,13.90%,64,1.80%,2,0.10%,"2,602",75.10%,1,0.00%,16,0.50%,116,3.30%,182,0.05,0.14,140,6,1,441929
Census Tract 4420,"3,236",456,14.10%,24,0.70%,2,0.10%,"2,467",76.20%,3,0.10%,16,0.50%,143,4.40%,125,0.04,0.14,140,6,1,442000
Census Tract 4421,"5,265",657,12.50%,25,0.50%,1,0.00%,"4,333",82.30%,4,0.10%,7,0.10%,111,2.10%,127,0.02,0.12,140,6,1,442100
Census Tract 4422,"7,454","1,010",13.50%,90,1.20%,10,0.10%,"5,744",77.10%,13,0.20%,36,0.50%,157,2.10%,394,0.05,0.14,140,6,1,442200
Census Tract 4423.01,"5,046",824,16.30%,118,2.30%,16,0.30%,"3,173",62.90%,17,0.30%,26,0.50%,153,3.00%,719,0.14,0.16,140,6,1,442301
Census Tract 4423.02,"6,417",822,12.80%,331,5.20%,14,0.20%,"3,808",59.30%,41,0.60%,50,0.80%,276,4.30%,"1,075",0.17,0.13,140,6,1,442302
Census Tract 4424,"6,347","1,286",20.30%,139,2.20%,15,0.20%,"2,893",45.60%,49,0.80%,96,1.50%,286,4.50%,"1,583",0.25,0.2,140,6,1,442400
Census Tract 4425.01,"3,543",732,20.70%,84,2.40%,10,0.30%,"1,759",49.60%,20,0.60%,59,1.70%,142,4.00%,737,0.21,0.21,140,6,1,442501
Census Tract 4425.02,"3,976",759,19.10%,94,2.40%,32,0.80%,"2,006",50.50%,23,0.60%,10,0.30%,137,3.40%,915,0.23,0.19,140,6,1,442502
Census Tract 4426.01,"3,854","1,064",27.60%,50,1.30%,14,0.40%,"1,856",48.20%,19,0.50%,27,0.70%,224,5.80%,600,0.16,0.28,140,6,1,442601
Census Tract 4426.02,"5,314","1,244",23.40%,143,2.70%,9,0.20%,"2,376",44.70%,29,0.50%,22,0.40%,312,5.90%,"1,179",0.22,0.23,140,6,1,442602
Census Tract 4427,"3,141","1,082",34.40%,49,1.60%,6,0.20%,"1,290",41.10%,17,0.50%,10,0.30%,169,5.40%,518,0.17,0.34,140,6,1,442700
Census Tract 4428,"2,959",687,23.20%,42,1.40%,13,0.40%,"1,489",50.30%,13,0.40%,16,0.50%,153,5.20%,546,0.19,0.23,140,6,1,442800
