State / County / Place,Total Population,"White alone, Not Hispanic",White Alone Percent of Total,"Black or African American alone, Not Hispanic",Black Alone Percent of Total,"American Indian and Alaska Native alone, Not Hispanic",AIAN Percent of Total,"Asian alone, Not Hispanic",Asian Percent of Total,"Native Hawaiian and Other Pacific Islander alone, Not Hispanic",NHOPI Percent of Total,"Some other race alone, Not Hispanic",Other Percent of Total,"Two or more races, Not Hispanic",Two Plus Percent of Total,Hispanic/ Latino (2),Hispanic Percent of Total,Summary level,State,County,Census Tract,,,,
Census Tract 4240.01,"4,146","1,668",40.2%,823,19.9%,23,0.6%,447,10.8%,11,0.3%,47,1.1%,364,8.8%,763,18.4%,140,06,001,424001,,,,
Census Tract 4240.02,"2,488",899,36.1%,632,25.4%,7,0.3%,290,11.7%,8,0.3%,35,1.4%,192,7.7%,425,17.1%,140,06,001,424002,,,,
Census Tract 4251.01,"1,853",946,51.1%,82,4.4%,1,0.1%,585,31.6%,4,0.2%,27,1.5%,111,6.0%,97,5.2%,140,06,001,425101,,,,
Census Tract 4251.02,"3,752","1,053",28.1%,499,13.3%,10,0.3%,"1,626",43.3%,10,0.3%,22,0.6%,207,5.5%,325,8.7%,140,06,001,425102,,,,
Census Tract 4251.03,"2,926","1,111",38.0%,438,15.0%,0,0.0%,787,26.9%,16,0.5%,23,0.8%,221,7.6%,330,11.3%,140,06,001,425103,,,,
Census Tract 4251.04,"4,374","1,454",33.2%,949,21.7%,12,0.3%,920,21.0%,9,0.2%,54,1.2%,293,6.7%,683,15.6%,140,06,001,425104,,,,
Census Tract 4261,"6,364","4,076",64.0%,71,1.1%,5,0.1%,"1,274",20.0%,7,0.1%,54,0.8%,522,8.2%,355,5.6%,140,06,001,426100,,,,
Census Tract 4262,"4,915","2,992",60.9%,51,1.0%,0,0.0%,974,19.8%,3,0.1%,45,0.9%,475,9.7%,375,7.6%,140,06,001,426200,,,,
Census Tract 4271,"4,063","2,388",58.8%,146,3.6%,0,0.0%,738,18.2%,4,0.1%,25,0.6%,335,8.2%,427,10.5%,140,06,001,427100,,,,
Census Tract 4272,"4,363","1,645",37.7%,177,4.1%,10,0.2%,"1,462",33.5%,24,0.6%,15,0.3%,341,7.8%,689,15.8%,140,06,001,427200,,,,
Census Tract 4273,"5,719","2,094",36.6%,529,9.2%,27,0.5%,"1,897",33.2%,26,0.5%,50,0.9%,421,7.4%,675,11.8%,140,06,001,427300,,,,
Census Tract 4276,"4,730","1,168",24.7%,642,13.6%,17,0.4%,"1,839",38.9%,40,0.8%,44,0.9%,323,6.8%,657,13.9%,140,06,001,427600,,,,
Census Tract 4277,"5,016","2,362",47.1%,294,5.9%,12,0.2%,"1,271",25.3%,18,0.4%,32,0.6%,353,7.0%,674,13.4%,140,06,001,427700,,,,
Census Tract 4278,"4,827","2,390",49.5%,192,4.0%,7,0.1%,"1,192",24.7%,11,0.2%,42,0.9%,361,7.5%,632,13.1%,140,06,001,427800,,,,
Census Tract 4279,"4,744","2,367",49.9%,204,4.3%,12,0.3%,"1,078",22.7%,10,0.2%,31,0.7%,400,8.4%,642,13.5%,140,06,001,427900,,,,
Census Tract 4280,"2,997",986,32.9%,186,6.2%,8,0.3%,"1,080",36.0%,17,0.6%,15,0.5%,224,7.5%,481,16.0%,140,06,001,428000,,,,
Census Tract 4281,"4,880","2,559",52.4%,142,2.9%,10,0.2%,"1,039",21.3%,16,0.3%,49,1.0%,434,8.9%,631,12.9%,140,06,001,428100,,,,
Census Tract 4282,"6,644","3,316",49.9%,196,3.0%,6,0.1%,"1,732",26.1%,38,0.6%,51,0.8%,572,8.6%,733,11.0%,140,06,001,428200,,,,
Census Tract 4283.01,"7,044","2,154",30.6%,199,2.8%,4,0.1%,"3,370",47.8%,17,0.2%,41,0.6%,568,8.1%,691,9.8%,140,06,001,428301,,,,
Census Tract 4283.02,"7,120","2,695",37.9%,181,2.5%,1,0.0%,"3,220",45.2%,10,0.1%,29,0.4%,513,7.2%,471,6.6%,140,06,001,428302,,,,
Census Tract 4284,"4,645","1,934",41.6%,330,7.1%,18,0.4%,"1,277",27.5%,35,0.8%,29,0.6%,334,7.2%,688,14.8%,140,06,001,428400,,,,
Census Tract 4285,"3,339","1,363",40.8%,193,5.8%,8,0.2%,"1,083",32.4%,14,0.4%,12,0.4%,292,8.7%,374,11.2%,140,06,001,428500,,,,
Census Tract 4286,"3,398","1,285",37.8%,232,6.8%,9,0.3%,"1,135",33.4%,18,0.5%,47,1.4%,240,7.1%,432,12.7%,140,06,001,428600,,,,
Census Tract 4287,"4,751","1,446",30.4%,556,11.7%,24,0.5%,"1,694",35.7%,58,1.2%,44,0.9%,391,8.2%,538,11.3%,140,06,001,428700,,,,
Census Tract 4301.01,"6,747","1,977",29.3%,268,4.0%,3,0.0%,"3,518",52.1%,16,0.2%,34,0.5%,321,4.8%,610,9.0%,140,06,001,430101,,,,
Census Tract 4301.02,"2,553","1,355",53.1%,57,2.2%,3,0.1%,584,22.9%,3,0.1%,26,1.0%,190,7.4%,335,13.1%,140,06,001,430102,,,,
Census Tract 4302,"7,477","3,587",48.0%,191,2.6%,11,0.1%,"2,009",26.9%,14,0.2%,51,0.7%,506,6.8%,"1,108",14.8%,140,06,001,430200,,,,
Census Tract 4303,"3,940","1,929",49.0%,91,2.3%,12,0.3%,975,24.7%,5,0.1%,14,0.4%,260,6.6%,654,16.6%,140,06,001,430300,,,,
Census Tract 4304,"2,207","1,107",50.2%,51,2.3%,0,0.0%,534,24.2%,9,0.4%,29,1.3%,160,7.2%,317,14.4%,140,06,001,430400,,,,
Census Tract 4305,"6,289","1,715",27.3%,"1,025",16.3%,22,0.3%,"1,424",22.6%,44,0.7%,31,0.5%,384,6.1%,"1,644",26.1%,140,06,001,430500,,,,
Census Tract 4306,"6,385","2,500",39.2%,289,4.5%,18,0.3%,"2,141",33.5%,39,0.6%,33,0.5%,410,6.4%,955,15.0%,140,06,001,430600,,,,
Census Tract 4307,"4,209","1,775",42.2%,113,2.7%,4,0.1%,"1,231",29.2%,9,0.2%,39,0.9%,289,6.9%,749,17.8%,140,06,001,430700,,,,
Census Tract 4308,"6,165","2,263",36.7%,185,3.0%,15,0.2%,"2,009",32.6%,24,0.4%,44,0.7%,408,6.6%,"1,217",19.7%,140,06,001,430800,,,,
Census Tract 4309,"5,137","1,454",28.3%,498,9.7%,24,0.5%,"1,274",24.8%,49,1.0%,51,1.0%,291,5.7%,"1,496",29.1%,140,06,001,430900,,,,
Census Tract 4310,"3,091",914,29.6%,221,7.1%,6,0.2%,875,28.3%,7,0.2%,17,0.5%,195,6.3%,856,27.7%,140,06,001,431000,,,,
Census Tract 4311,"3,537","1,035",29.3%,436,12.3%,8,0.2%,683,19.3%,38,1.1%,33,0.9%,241,6.8%,"1,063",30.1%,140,06,001,431100,,,,
Census Tract 4312,"6,091","2,259",37.1%,635,10.4%,16,0.3%,"1,206",19.8%,47,0.8%,32,0.5%,338,5.5%,"1,558",25.6%,140,06,001,431200,,,,
Census Tract 4321,"4,121","1,537",37.3%,513,12.4%,31,0.8%,616,14.9%,35,0.8%,13,0.3%,333,8.1%,"1,043",25.3%,140,06,001,432100,,,,
Census Tract 4322,"4,231","1,377",32.5%,701,16.6%,4,0.1%,658,15.6%,20,0.5%,23,0.5%,261,6.2%,"1,187",28.1%,140,06,001,432200,,,,
Census Tract 4323,"4,885",902,18.5%,499,10.2%,21,0.4%,"1,476",30.2%,20,0.4%,32,0.7%,183,3.7%,"1,752",35.9%,140,06,001,432300,,,,
Census Tract 4324,"6,279",936,14.9%,505,8.0%,16,0.3%,"2,007",32.0%,49,0.8%,24,0.4%,223,3.6%,"2,519",40.1%,140,06,001,432400,,,,
Census Tract 4325.01,"5,161",756,14.6%,224,4.3%,10,0.2%,"2,033",39.4%,33,0.6%,12,0.2%,152,2.9%,"1,941",37.6%,140,06,001,432501,,,,
Census Tract 4325.02,"4,641",535,11.5%,550,11.9%,13,0.3%,"1,928",41.5%,46,1.0%,16,0.3%,157,3.4%,"1,396",30.1%,140,06,001,432502,,,,
Census Tract 4326.01,"4,358",828,19.0%,764,17.5%,5,0.1%,"1,206",27.7%,16,0.4%,40,0.9%,173,4.0%,"1,326",30.4%,140,06,001,432601,,,,
Census Tract 4326.02,"3,214",684,21.3%,668,20.8%,9,0.3%,651,20.3%,33,1.0%,16,0.5%,157,4.9%,996,31.0%,140,06,001,432602,,,,
Census Tract 4327,"2,660","1,070",40.2%,206,7.7%,5,0.2%,507,19.1%,7,0.3%,14,0.5%,151,5.7%,700,26.3%,140,06,001,432700,,,,
Census Tract 4328,"4,121","1,307",31.7%,450,10.9%,9,0.2%,"1,226",29.8%,18,0.4%,19,0.5%,219,5.3%,873,21.2%,140,06,001,432800,,,,
Census Tract 4330,"4,178","1,056",25.3%,290,6.9%,4,0.1%,"1,355",32.4%,34,0.8%,13,0.3%,154,3.7%,"1,272",30.4%,140,06,001,433000,,,,
Census Tract 4331.02,"4,124",572,13.9%,335,8.1%,9,0.2%,"1,762",42.7%,59,1.4%,19,0.5%,113,2.7%,"1,255",30.4%,140,06,001,433102,,,,
Census Tract 4331.03,"3,682",445,12.1%,776,21.1%,12,0.3%,772,21.0%,25,0.7%,41,1.1%,134,3.6%,"1,477",40.1%,140,06,001,433103,,,,
Census Tract 4331.04,"4,125",816,19.8%,782,19.0%,11,0.3%,756,18.3%,40,1.0%,32,0.8%,189,4.6%,"1,499",36.3%,140,06,001,433104,,,,
Census Tract 4332,"7,652","1,070",14.0%,"1,190",15.6%,16,0.2%,"2,997",39.2%,81,1.1%,54,0.7%,335,4.4%,"1,909",24.9%,140,06,001,433200,,,,
Census Tract 4333,"7,448","1,228",16.5%,255,3.4%,14,0.2%,"3,784",50.8%,72,1.0%,26,0.3%,239,3.2%,"1,830",24.6%,140,06,001,433300,,,,
Census Tract 4334,"6,644","1,015",15.3%,537,8.1%,17,0.3%,"3,891",58.6%,43,0.6%,16,0.2%,249,3.7%,876,13.2%,140,06,001,433400,,,,
Census Tract 4335,"4,557",926,20.3%,144,3.2%,5,0.1%,"2,223",48.8%,34,0.7%,9,0.2%,120,2.6%,"1,096",24.1%,140,06,001,433500,,,,
Census Tract 4336,"6,307","1,172",18.6%,447,7.1%,13,0.2%,"2,870",45.5%,50,0.8%,29,0.5%,215,3.4%,"1,511",24.0%,140,06,001,433600,,,,
Census Tract 4337,"3,515",488,13.9%,336,9.6%,10,0.3%,664,18.9%,48,1.4%,9,0.3%,136,3.9%,"1,824",51.9%,140,06,001,433700,,,,
Census Tract 4338.01,"3,637",410,11.3%,590,16.2%,24,0.7%,766,21.1%,25,0.7%,17,0.5%,101,2.8%,"1,704",46.9%,140,06,001,433801,,,,
Census Tract 4338.02,"4,365",481,11.0%,485,11.1%,14,0.3%,"1,891",43.3%,24,0.5%,28,0.6%,180,4.1%,"1,262",28.9%,140,06,001,433802,,,,
Census Tract 4339,"6,833",577,8.4%,"1,476",21.6%,13,0.2%,"1,136",16.6%,137,2.0%,26,0.4%,238,3.5%,"3,230",47.3%,140,06,001,433900,,,,
Census Tract 4340,"5,564",682,12.3%,968,17.4%,15,0.3%,"1,081",19.4%,46,0.8%,43,0.8%,172,3.1%,"2,557",46.0%,140,06,001,434000,,,,
Census Tract 4351.02,"5,870","1,423",24.2%,949,16.2%,11,0.2%,"1,550",26.4%,53,0.9%,29,0.5%,347,5.9%,"1,508",25.7%,140,06,001,435102,,,,
Census Tract 4351.03,"7,726","2,066",26.7%,560,7.2%,10,0.1%,"3,668",47.5%,43,0.6%,40,0.5%,501,6.5%,838,10.8%,140,06,001,435103,,,,
Census Tract 4351.04,"7,230",906,12.5%,888,12.3%,12,0.2%,"2,340",32.4%,155,2.1%,45,0.6%,365,5.0%,"2,519",34.8%,140,06,001,435104,,,,
Census Tract 4352,"4,504","1,027",22.8%,845,18.8%,6,0.1%,962,21.4%,81,1.8%,28,0.6%,340,7.5%,"1,215",27.0%,140,06,001,435200,,,,
Census Tract 4353,"5,077","1,097",21.6%,849,16.7%,17,0.3%,888,17.5%,56,1.1%,63,1.2%,258,5.1%,"1,849",36.4%,140,06,001,435300,,,,
Census Tract 4354,"4,940",944,19.1%,872,17.7%,12,0.2%,921,18.6%,61,1.2%,42,0.9%,248,5.0%,"1,840",37.2%,140,06,001,435400,,,,
Census Tract 4355,"4,104",835,20.3%,379,9.2%,14,0.3%,554,13.5%,105,2.6%,28,0.7%,134,3.3%,"2,055",50.1%,140,06,001,435500,,,,
Census Tract 4356.01,"5,454",636,11.7%,477,8.7%,20,0.4%,666,12.2%,97,1.8%,33,0.6%,161,3.0%,"3,364",61.7%,140,06,001,435601,,,,
Census Tract 4356.02,"5,709",922,16.1%,482,8.4%,12,0.2%,748,13.1%,75,1.3%,20,0.4%,181,3.2%,"3,269",57.3%,140,06,001,435602,,,,
Census Tract 4357,"4,904",840,17.1%,244,5.0%,7,0.1%,"1,087",22.2%,74,1.5%,16,0.3%,193,3.9%,"2,443",49.8%,140,06,001,435700,,,,
Census Tract 4358,"5,735","1,166",20.3%,229,4.0%,12,0.2%,"1,930",33.7%,55,1.0%,17,0.3%,214,3.7%,"2,112",36.8%,140,06,001,435800,,,,
Census Tract 4359,"5,431","1,406",25.9%,179,3.3%,10,0.2%,"1,898",34.9%,48,0.9%,27,0.5%,233,4.3%,"1,630",30.0%,140,06,001,435900,,,,
Census Tract 4360,"5,049","1,184",23.5%,128,2.5%,19,0.4%,"1,500",29.7%,53,1.0%,16,0.3%,173,3.4%,"1,976",39.1%,140,06,001,436000,,,,
Census Tract 4361,"5,745","1,042",18.1%,256,4.5%,10,0.2%,"1,703",29.6%,82,1.4%,31,0.5%,229,4.0%,"2,392",41.6%,140,06,001,436100,,,,
Census Tract 4362,"4,176",399,9.6%,484,11.6%,6,0.1%,413,9.9%,51,1.2%,22,0.5%,114,2.7%,"2,687",64.3%,140,06,001,436200,,,,
Census Tract 4363.01,"5,785",502,8.7%,550,9.5%,11,0.2%,"1,976",34.2%,75,1.3%,42,0.7%,173,3.0%,"2,456",42.5%,140,06,001,436301,,,,
Census Tract 4363.02,"3,903",468,12.0%,437,11.2%,8,0.2%,788,20.2%,86,2.2%,17,0.4%,139,3.6%,"1,960",50.2%,140,06,001,436302,,,,
Census Tract 4364.02,"3,007","1,250",41.6%,313,10.4%,0,0.0%,586,19.5%,20,0.7%,21,0.7%,222,7.4%,595,19.8%,140,06,001,436402,,,,
Census Tract 4364.03,"4,282","1,043",24.4%,552,12.9%,14,0.3%,663,15.5%,101,2.4%,27,0.6%,239,5.6%,"1,643",38.4%,140,06,001,436403,,,,
Census Tract 4364.04,"3,609","1,236",34.2%,406,11.2%,6,0.2%,645,17.9%,50,1.4%,18,0.5%,275,7.6%,973,27.0%,140,06,001,436404,,,,
Census Tract 4365,"5,372",771,14.4%,714,13.3%,8,0.1%,"1,168",21.7%,171,3.2%,28,0.5%,206,3.8%,"2,306",42.9%,140,06,001,436500,,,,
Census Tract 4366.01,"6,761",588,8.7%,582,8.6%,13,0.2%,"1,082",16.0%,236,3.5%,44,0.7%,169,2.5%,"4,047",59.9%,140,06,001,436601,,,,
Census Tract 4366.02,"5,402",406,7.5%,529,9.8%,20,0.4%,"1,469",27.2%,158,2.9%,39,0.7%,230,4.3%,"2,551",47.2%,140,06,001,436602,,,,
Census Tract 4367,"3,689",431,11.7%,247,6.7%,6,0.2%,865,23.4%,73,2.0%,20,0.5%,123,3.3%,"1,924",52.2%,140,06,001,436700,,,,
Census Tract 4368,"4,341",484,11.1%,437,10.1%,15,0.3%,"1,170",27.0%,150,3.5%,33,0.8%,174,4.0%,"1,878",43.3%,140,06,001,436800,,,,
Census Tract 4369,"7,099",613,8.6%,345,4.9%,10,0.1%,"1,288",18.1%,174,2.5%,35,0.5%,154,2.2%,"4,480",63.1%,140,06,001,436900,,,,
Census Tract 4370,"3,726",601,16.1%,252,6.8%,8,0.2%,"1,194",32.0%,194,5.2%,15,0.4%,206,5.5%,"1,256",33.7%,140,06,001,437000,,,,
Census Tract 4371.01,"7,532",727,9.7%,348,4.6%,23,0.3%,"4,128",54.8%,293,3.9%,43,0.6%,301,4.0%,"1,669",22.2%,140,06,001,437101,,,,
Census Tract 4371.02,"4,557",403,8.8%,318,7.0%,2,0.0%,"2,054",45.1%,158,3.5%,47,1.0%,176,3.9%,"1,399",30.7%,140,06,001,437102,,,,
Census Tract 4372,"8,696","1,447",16.6%,688,7.9%,25,0.3%,"3,645",41.9%,270,3.1%,40,0.5%,380,4.4%,"2,201",25.3%,140,06,001,437200,,,,
Census Tract 4373,"3,359",367,10.9%,302,9.0%,4,0.1%,"1,101",32.8%,153,4.6%,15,0.4%,147,4.4%,"1,270",37.8%,140,06,001,437300,,,,
Census Tract 4374,"3,508",423,12.1%,141,4.0%,12,0.3%,754,21.5%,99,2.8%,44,1.3%,116,3.3%,"1,919",54.7%,140,06,001,437400,,,,
Census Tract 4375,"4,797",327,6.8%,265,5.5%,0,0.0%,706,14.7%,249,5.2%,19,0.4%,209,4.4%,"3,022",63.0%,140,06,001,437500,,,,
Census Tract 4376,"3,398",344,10.1%,218,6.4%,12,0.4%,975,28.7%,160,4.7%,26,0.8%,160,4.7%,"1,503",44.2%,140,06,001,437600,,,,
Census Tract 4377.01,"3,991",216,5.4%,427,10.7%,15,0.4%,644,16.1%,196,4.9%,20,0.5%,131,3.3%,"2,342",58.7%,140,06,001,437701,,,,
Census Tract 4377.02,"4,404",121,2.7%,202,4.6%,9,0.2%,538,12.2%,126,2.9%,24,0.5%,51,1.2%,"3,333",75.7%,140,06,001,437702,,,,
Census Tract 4378,"4,785",563,11.8%,297,6.2%,2,0.0%,"1,716",35.9%,201,4.2%,21,0.4%,181,3.8%,"1,804",37.7%,140,06,001,437800,,,,
Census Tract 4379,"2,426",243,10.0%,154,6.3%,10,0.4%,468,19.3%,116,4.8%,6,0.2%,99,4.1%,"1,330",54.8%,140,06,001,437900,,,,
Census Tract 4380,"3,409",809,23.7%,188,5.5%,9,0.3%,"1,007",29.5%,37,1.1%,13,0.4%,198,5.8%,"1,148",33.7%,140,06,001,438000,,,,
Census Tract 4381,"7,807","1,058",13.6%,416,5.3%,12,0.2%,"2,393",30.7%,136,1.7%,21,0.3%,321,4.1%,"3,450",44.2%,140,06,001,438100,,,,
Census Tract 4382.01,"4,752",471,9.9%,184,3.9%,11,0.2%,"1,227",25.8%,179,3.8%,14,0.3%,167,3.5%,"2,499",52.6%,140,06,001,438201,,,,
Census Tract 4382.03,"4,200",481,11.5%,283,6.7%,15,0.4%,"1,982",47.2%,126,3.0%,21,0.5%,128,3.0%,"1,164",27.7%,140,06,001,438203,,,,
Census Tract 4382.04,"5,940",794,13.4%,334,5.6%,7,0.1%,"2,529",42.6%,235,4.0%,29,0.5%,243,4.1%,"1,769",29.8%,140,06,001,438204,,,,
Census Tract 4383,"3,865",248,6.4%,225,5.8%,15,0.4%,"1,383",35.8%,225,5.8%,20,0.5%,146,3.8%,"1,603",41.5%,140,06,001,438300,,,,
Census Tract 4384,"2,460",366,14.9%,97,3.9%,0,0.0%,936,38.0%,112,4.6%,16,0.7%,103,4.2%,830,33.7%,140,06,001,438400,,,,
Census Tract 4401,"2,656",858,32.3%,122,4.6%,0,0.0%,"1,080",40.7%,31,1.2%,5,0.2%,137,5.2%,423,15.9%,140,06,001,440100,,,,
Census Tract 4402,"5,786",273,4.7%,211,3.6%,10,0.2%,"1,259",21.8%,43,0.7%,16,0.3%,89,1.5%,"3,885",67.1%,140,06,001,440200,,,,
Census Tract 4403.01,"7,129",914,12.8%,304,4.3%,13,0.2%,"3,185",44.7%,72,1.0%,34,0.5%,319,4.5%,"2,288",32.1%,140,06,001,440301,,,,
Census Tract 4403.04,"4,726",322,6.8%,214,4.5%,6,0.1%,"3,290",69.6%,50,1.1%,21,0.4%,203,4.3%,620,13.1%,140,06,001,440304,,,,
Census Tract 4403.05,"3,682",400,10.9%,197,5.4%,1,0.0%,"2,288",62.1%,72,2.0%,26,0.7%,124,3.4%,574,15.6%,140,06,001,440305,,,,
Census Tract 4403.06,"4,020",262,6.5%,203,5.0%,14,0.3%,"2,855",71.0%,46,1.1%,19,0.5%,165,4.1%,456,11.3%,140,06,001,440306,,,,
Census Tract 4403.07,"4,459",718,16.1%,212,4.8%,8,0.2%,"2,326",52.2%,50,1.1%,16,0.4%,226,5.1%,903,20.3%,140,06,001,440307,,,,
Census Tract 4403.08,"5,946",734,12.3%,216,3.6%,18,0.3%,"2,875",48.4%,136,2.3%,22,0.4%,227,3.8%,"1,718",28.9%,140,06,001,440308,,,,
Census Tract 4403.31,"3,323",283,8.5%,158,4.8%,4,0.1%,"2,031",61.1%,58,1.7%,12,0.4%,138,4.2%,639,19.2%,140,06,001,440331,,,,
Census Tract 4403.32,"3,034",227,7.5%,99,3.3%,0,0.0%,"2,396",79.0%,7,0.2%,14,0.5%,129,4.3%,162,5.3%,140,06,001,440332,,,,
Census Tract 4403.33,"2,787",186,6.7%,126,4.5%,1,0.0%,"2,105",75.5%,23,0.8%,0,0.0%,133,4.8%,213,7.6%,140,06,001,440333,,,,
Census Tract 4403.34,"4,083",390,9.6%,173,4.2%,2,0.0%,"2,572",63.0%,42,1.0%,10,0.2%,210,5.1%,684,16.8%,140,06,001,440334,,,,
Census Tract 4403.36,"4,583",639,13.9%,236,5.1%,9,0.2%,"2,425",52.9%,62,1.4%,12,0.3%,160,3.5%,"1,040",22.7%,140,06,001,440336,,,,
Census Tract 4403.37,"2,708",209,7.7%,81,3.0%,2,0.1%,"2,070",76.4%,11,0.4%,10,0.4%,98,3.6%,227,8.4%,140,06,001,440337,,,,
Census Tract 4403.38,"4,305",470,10.9%,199,4.6%,7,0.2%,"2,863",66.5%,30,0.7%,35,0.8%,241,5.6%,460,10.7%,140,06,001,440338,,,,
Census Tract 4411,"4,504","1,627",36.1%,107,2.4%,22,0.5%,"1,718",38.1%,11,0.2%,42,0.9%,293,6.5%,684,15.2%,140,06,001,441100,,,,
Census Tract 4412,"7,277","2,293",31.5%,139,1.9%,19,0.3%,"3,112",42.8%,16,0.2%,52,0.7%,445,6.1%,"1,201",16.5%,140,06,001,441200,,,,
Census Tract 4413.01,"3,248",617,19.0%,96,3.0%,6,0.2%,"2,066",63.6%,9,0.3%,16,0.5%,148,4.6%,290,8.9%,140,06,001,441301,,,,
Census Tract 4413.02,"5,661","1,204",21.3%,135,2.4%,16,0.3%,"3,323",58.7%,16,0.3%,33,0.6%,228,4.0%,706,12.5%,140,06,001,441302,,,,
Census Tract 4414.01,"7,319","1,046",14.3%,214,2.9%,4,0.1%,"4,805",65.7%,49,0.7%,30,0.4%,316,4.3%,855,11.7%,140,06,001,441401,,,,
Census Tract 4414.02,"5,293",871,16.5%,153,2.9%,10,0.2%,"3,511",66.3%,19,0.4%,24,0.5%,240,4.5%,465,8.8%,140,06,001,441402,,,,
Census Tract 4415.01,"5,913",593,10.0%,213,3.6%,16,0.3%,"4,355",73.7%,34,0.6%,22,0.4%,272,4.6%,408,6.9%,140,06,001,441501,,,,
Census Tract 4415.03,"7,763",475,6.1%,101,1.3%,10,0.1%,"6,708",86.4%,8,0.1%,34,0.4%,178,2.3%,249,3.2%,140,06,001,441503,,,,
Census Tract 4415.21,"5,779",719,12.4%,118,2.0%,4,0.1%,"4,289",74.2%,64,1.1%,14,0.2%,186,3.2%,385,6.7%,140,06,001,441521,,,,
Census Tract 4415.22,"4,868",543,11.2%,145,3.0%,2,0.0%,"3,397",69.8%,25,0.5%,30,0.6%,152,3.1%,574,11.8%,140,06,001,441522,,,,
Census Tract 4415.23,"4,169",368,8.8%,120,2.9%,7,0.2%,"3,301",79.2%,26,0.6%,19,0.5%,113,2.7%,215,5.2%,140,06,001,441523,,,,
Census Tract 4415.24,"4,040",327,8.1%,81,2.0%,4,0.1%,"3,323",82.3%,10,0.2%,9,0.2%,121,3.0%,165,4.1%,140,06,001,441524,,,,
Census Tract 4415.25,"1,632",117,7.2%,56,3.4%,2,0.1%,"1,327",81.3%,0,0.0%,9,0.6%,16,1.0%,105,6.4%,140,06,001,441525,,,,
Census Tract 4416.01,"4,641","1,075",23.2%,137,3.0%,5,0.1%,"2,249",48.5%,42,0.9%,23,0.5%,220,4.7%,890,19.2%,140,06,001,441601,,,,
Census Tract 4416.02,"7,220","1,177",16.3%,250,3.5%,8,0.1%,"3,608",50.0%,78,1.1%,17,0.2%,378,5.2%,"1,704",23.6%,140,06,001,441602,,,,
Census Tract 4417.01,"3,846",553,14.4%,98,2.5%,8,0.2%,"1,969",51.2%,50,1.3%,28,0.7%,126,3.3%,"1,014",26.4%,140,06,001,441701,,,,
Census Tract 4417.02,"5,728","1,077",18.8%,402,7.0%,44,0.8%,"2,937",51.3%,26,0.5%,62,1.1%,237,4.1%,943,16.5%,140,06,001,441702,,,,
Census Tract 4418,"7,195","1,537",21.4%,193,2.7%,14,0.2%,"4,046",56.2%,28,0.4%,54,0.8%,242,3.4%,"1,081",15.0%,140,06,001,441800,,,,
Census Tract 4419.21,"3,718",694,18.7%,105,2.8%,6,0.2%,"1,782",47.9%,27,0.7%,16,0.4%,134,3.6%,954,25.7%,140,06,001,441921,,,,
Census Tract 4419.23,"6,333",828,13.1%,206,3.3%,28,0.4%,"4,177",66.0%,28,0.4%,116,1.8%,172,2.7%,778,12.3%,140,06,001,441923,,,,
Census Tract 4419.24,"7,619","1,211",15.9%,183,2.4%,13,0.2%,"4,935",64.8%,27,0.4%,19,0.2%,335,4.4%,896,11.8%,140,06,001,441924,,,,
Census Tract 4419.26,"3,836",381,9.9%,127,3.3%,8,0.2%,"2,318",60.4%,22,0.6%,20,0.5%,125,3.3%,835,21.8%,140,06,001,441926,,,,
Census Tract 4419.27,"4,310",668,15.5%,113,2.6%,11,0.3%,"2,847",66.1%,20,0.5%,43,1.0%,142,3.3%,466,10.8%,140,06,001,441927,,,,
Census Tract 4419.28,"3,392",481,14.2%,140,4.1%,10,0.3%,"2,238",66.0%,23,0.7%,18,0.5%,145,4.3%,337,9.9%,140,06,001,441928,,,,
Census Tract 4419.29,"3,466",483,13.9%,64,1.8%,2,0.1%,"2,602",75.1%,1,0.0%,16,0.5%,116,3.3%,182,5.3%,140,06,001,441929,,,,
Census Tract 4420,"3,236",456,14.1%,24,0.7%,2,0.1%,"2,467",76.2%,3,0.1%,16,0.5%,143,4.4%,125,3.9%,140,06,001,442000,,,,
Census Tract 4421,"5,265",657,12.5%,25,0.5%,1,0.0%,"4,333",82.3%,4,0.1%,7,0.1%,111,2.1%,127,2.4%,140,06,001,442100,,,,
Census Tract 4422,"7,454","1,010",13.5%,90,1.2%,10,0.1%,"5,744",77.1%,13,0.2%,36,0.5%,157,2.1%,394,5.3%,140,06,001,442200,,,,
Census Tract 4423.01,"5,046",824,16.3%,118,2.3%,16,0.3%,"3,173",62.9%,17,0.3%,26,0.5%,153,3.0%,719,14.2%,140,06,001,442301,,,,
Census Tract 4423.02,"6,417",822,12.8%,331,5.2%,14,0.2%,"3,808",59.3%,41,0.6%,50,0.8%,276,4.3%,"1,075",16.8%,140,06,001,442302,,,,
Census Tract 4424,"6,347","1,286",20.3%,139,2.2%,15,0.2%,"2,893",45.6%,49,0.8%,96,1.5%,286,4.5%,"1,583",24.9%,140,06,001,442400,,,,
Census Tract 4425.01,"3,543",732,20.7%,84,2.4%,10,0.3%,"1,759",49.6%,20,0.6%,59,1.7%,142,4.0%,737,20.8%,140,06,001,442501,,,,
Census Tract 4425.02,"3,976",759,19.1%,94,2.4%,32,0.8%,"2,006",50.5%,23,0.6%,10,0.3%,137,3.4%,915,23.0%,140,06,001,442502,,,,
